id,title,category
stop-unauthorized-military-strikes-on-iran,Stop Unauthorized Military Strikes on Iran,Foreign Affairs
protect-trans-rights-and-gender-affirming-care,Protect Trans Rights and Gender-Affirming Care,LGBTQ
demand-the-resignation-of-fbi-director-kash-patel,Demand the Resignation of FBI Director Kash Patel,Government Oversight
oppose-steve-pearce-as-blm-director,Oppose Steve Pearce as Bureau of Land Management Director,Nominations
oppose-the-save-america-act,Oppose the SAVE America Act,Voter Rights
oppose-casey-means-for-surgeon-general,Oppose Casey Means for U.S. Surgeon General,Nominations
support-tps-extension-for-haitians,Support Temporary Protected Status for Haitians,Immigration
protest-the-epa-repeal-of-the-endangerment-finding,Protest the EPA's Repeal of the Endangerment Finding,Environment
block-trumps-push-to-take-control-of-greenland,Block Trump's Push to Take Control of Greenland,Foreign Affairs
protect-state-level-ai-regulation,Protect State-Level AI Regulation,Digital Rights
protect-snap-food-security-and-family-farmers,Protect SNAP, Food Security, and Family Farmers,Agriculture
protect-pell-grants-and-affordable-student-aid,Protect Pell Grants and Affordable Student Aid,Education
invest-in-climate-resilience-grid-and-insurance-stability,Invest in Climate Resilience and Insurance Stability,Environment
support-fair-maps-and-election-guardrails,Support Fair Maps and Transparent Election Rules,Democracy
advance-social-security-and-medicare-solvency-plan,Advance a Bipartisan Social Security and Medicare Plan,Retirement Security
expand-housing-supply-and-prevent-homelessness,Expand Housing Supply and Prevent Homelessness,Housing
protect-affordable-coverage-and-reject-medicaid-work-requirements,Protect Affordable Coverage and Reject Medicaid Work Requirements,Health Care
lower-health-care-costs-and-protect-coverage,Lower Health Care Costs While Protecting Coverage,Health Care
protect-federal-reproductive-health-care-and-funding,Protect Federal Reproductive Health Care and Funding,Reproductive Rights
support-workers-during-layoffs-and-economic-uncertainty,Support Workers During Layoffs and Economic Uncertainty,Labor
lower-everyday-costs-for-working-families,Lower Everyday Costs for Working Families,Economy
fully-fund-hawaii-flood-relief-and-recovery,Fully Fund Hawaii Flood Relief and Recovery,Disaster Relief
strengthen-tsa-staffing-and-reduce-checkpoint-bottlenecks,Strengthen TSA Staffing and Reduce Checkpoint Bottlenecks,Transportation
